Username,Position,Player Name,Team
MIKEBUCH,RB,James Cook,BUF
MIKEBUCH,RB,Saquon Barkley,PHI
MIKEBUCH,W/T,Zach Ertz,WAS
MIKEBUCH,W/T,Keon Coleman,BUF
MIKEBUCH,W/T,Dalton Kincaid,BUF
MIKEBUCH,W/T,Terry McLaurin,WAS
MIKEBUCH,W/T,Khalil Shakir,BUF
MIKEBUCH,W/T,Travis Kelce,KC
BOSSHOGG585,QB,Jalen Hurts,PHI
BOSSHOGG585,RB,Justice Hill,BAL
BOSSHOGG585,RB,Kareem Hunt,KC
BOSSHOGG585,RB,Saquon Barkley,PHI
BOSSHOGG585,W/T,Rashod Bateman,BAL
BOSSHOGG585,W/T,Hollywood Brown,KC
BOSSHOGG585,W/T,Dallas Goedert,PHI
BOSSHOGG585,W/T,Nico Collins,HOU
BOSSHOGG585,W/T,Travis Kelce,KC
BOSSHOGG585,W/T,A.J. Brown,PHI
MARIGOBRAZY,QB,Jayden Daniels,WAS
MARIGOBRAZY,QB,Jalen Hurts,PHI
MARIGOBRAZY,RB,James Cook,BUF
MARIGOBRAZY,RB,Saquon Barkley,PHI
MARIGOBRAZY,W/T,Terry McLaurin,WAS
MARIGOBRAZY,W/T,Isaiah Likely,BAL
MARIGOBRAZY,W/T,Khalil Shakir,BUF
MARIGOBRAZY,W/T,DeAndre Hopkins,KC
MARIGOBRAZY,W/T,DeVonta Smith,PHI
MARIGOBRAZY,W/T,A.J. Brown,PHI
CATFISHMO1,QB,Jayden Daniels,WAS
CATFISHMO1,QB,Jalen Hurts,PHI
CATFISHMO1,RB,Brian Robinson Jr.,WAS
CATFISHMO1,RB,James Cook,BUF
CATFISHMO1,RB,Saquon Barkley,PHI
CATFISHMO1,W/T,Nico Collins,HOU
CATFISHMO1,W/T,Terry McLaurin,WAS
CATFISHMO1,W/T,Dallas Goedert,PHI
CATFISHMO1,W/T,DeVonta Smith,PHI
CATFISHMO1,W/T,A.J. Brown,PHI
DUESINATOR,QB,Jayden Daniels,WAS
DUESINATOR,QB,Jalen Hurts,PHI
DUESINATOR,RB,Joe Mixon,HOU
DUESINATOR,RB,Saquon Barkley,PHI
DUESINATOR,RB,Derrick Henry,BAL
DUESINATOR,W/T,Zach Ertz,WAS
DUESINATOR,W/T,Rashod Bateman,BAL
DUESINATOR,W/T,Mark Andrews,BAL
DUESINATOR,W/T,Xavier Worthy,KC
DUESINATOR,W/T,DeVonta Smith,PHI
KB602159,QB,Patrick Mahomes,KC
KB602159,RB,Kareem Hunt,KC
KB602159,RB,Isiah Pacheco,KC
KB602159,RB,Saquon Barkley,PHI
KB602159,W/T,Terry McLaurin,WAS
KB602159,W/T,DeAndre Hopkins,KC
KB602159,W/T,Hollywood Brown,KC
KB602159,W/T,Sam LaPorta,DET
KB602159,W/T,Travis Kelce,KC
KB602159,W/T,A.J. Brown,PHI
AGENTSMITHE,QB,Jayden Daniels,WAS
AGENTSMITHE,QB,Jalen Hurts,PHI
AGENTSMITHE,RB,James Cook,BUF
AGENTSMITHE,RB,Saquon Barkley,PHI
AGENTSMITHE,W/T,Dyami Brown,WAS
AGENTSMITHE,W/T,Terry McLaurin,WAS
AGENTSMITHE,W/T,Dalton Kincaid,BUF
AGENTSMITHE,W/T,Khalil Shakir,BUF
AGENTSMITHE,W/T,Xavier Worthy,KC
AGENTSMITHE,W/T,DeVonta Smith,PHI
OMEGADAGREEK,QB,Jayden Daniels,WAS
OMEGADAGREEK,QB,Jalen Hurts,PHI
OMEGADAGREEK,RB,Austin Ekeler,WAS
OMEGADAGREEK,RB,Brian Robinson Jr.,WAS
OMEGADAGREEK,RB,Isiah Pacheco,KC
OMEGADAGREEK,RB,Saquon Barkley,PHI
OMEGADAGREEK,W/T,Dallas Goedert,PHI
OMEGADAGREEK,W/T,Xavier Worthy,KC
OMEGADAGREEK,W/T,DeVonta Smith,PHI
OMEGADAGREEK,W/T,A.J. Brown,PHI
BQUERBES,QB,Patrick Mahomes,KC
BQUERBES,RB,Kareem Hunt,KC
BQUERBES,RB,Saquon Barkley,PHI
BQUERBES,W/T,Zach Ertz,WAS
BQUERBES,W/T,Isaiah Likely,BAL
BQUERBES,W/T,Terry McLaurin,WAS
BQUERBES,W/T,Rashod Bateman,BAL
BQUERBES,W/T,Hollywood Brown,KC
BQUERBES,W/T,DeVonta Smith,PHI
BQUERBES,W/T,A.J. Brown,PHI
JOHN77C,QB,Jayden Daniels,WAS
JOHN77C,QB,Jalen Hurts,PHI
JOHN77C,RB,James Cook,BUF
JOHN77C,RB,Saquon Barkley,PHI
JOHN77C,W/T,Terry McLaurin,WAS
JOHN77C,W/T,Dalton Kincaid,BUF
JOHN77C,W/T,Amari Cooper,BUF
JOHN77C,W/T,Khalil Shakir,BUF
JOHN77C,W/T,Nico Collins,HOU
JOHN77C,W/T,A.J. Brown,PHI
MNGUYEN0824,QB,Jayden Daniels,WAS
MNGUYEN0824,QB,Jalen Hurts,PHI
MNGUYEN0824,RB,Joe Mixon,HOU
MNGUYEN0824,RB,James Cook,BUF
MNGUYEN0824,RB,Saquon Barkley,PHI
MNGUYEN0824,W/T,Terry McLaurin,WAS
MNGUYEN0824,W/T,Dalton Kincaid,BUF
MNGUYEN0824,W/T,Khalil Shakir,BUF
MNGUYEN0824,W/T,Nico Collins,HOU
MNGUYEN0824,W/T,A.J. Brown,PHI
MD225,QB,Jalen Hurts,PHI
MD225,QB,Josh Allen,BUF
MD225,RB,James Cook,BUF
MD225,RB,Saquon Barkley,PHI
MD225,W/T,Zach Ertz,WAS
MD225,W/T,Terry McLaurin,WAS
MD225,W/T,Dalton Kincaid,BUF
MD225,W/T,Dallas Goedert,PHI
MD225,W/T,Puka Nacua,LAR
MD225,W/T,Xavier Worthy,KC
AWKWARDERICTION,QB,Matthew Stafford,LAR
AWKWARDERICTION,QB,Jayden Daniels,WAS
AWKWARDERICTION,RB,Isiah Pacheco,KC
