# Live Players	Count	%
0	0	0.00%
1	3	0.65%
2	21	4.58%
3	56	12.20%
4	53	11.55%
5	62	13.51%
6	83	18.08%
7	78	16.99%
8	66	14.38%
9	25	5.45%
10	12	2.61%
Total	459	100.00%
		
# Live QB	Count	%
0	71	15.47%
1	349	76.03%
2	39	8.50%
Total	459	100.00%
		
# Live RB	Count	%
0	3	0.65%
1	207	45.10%
2	209	45.53%
3	39	8.50%
4	0	0.00%
5	1	0.22%
Total	459	100.00%
		
# Live W/T	Count	%
0	10	2.18%
1	49	10.68%
2	97	21.13%
3	95	20.70%
4	113	24.62%
5	75	16.34%
6	17	3.70%
7	3	0.65%
Total	459	100.00%
		
# dupes	Count	%
1	247	53.81%
2	74	16.12%
3	39	8.50%
4	12	2.61%
5	15	3.27%
6	6	1.31%
7	7	1.53%
9	9	1.96%
12	24	5.23%
13	26	5.66%
Total	459	100.00%
		
Can Field Full Team	Count	%
Yes	309	67.32%
No	150	32.68%
Total	459	100.00%
		
Projection	Proj.	
Max	87.35	
Min	21.60	
Average	73.75	
Median	80.60	
Count	459	
