# Live Players	Count	%
0	0	0.00%
1	5	1.54%
2	15	4.62%
3	38	11.69%
4	41	12.62%
5	40	12.31%
6	45	13.85%
7	57	17.54%
8	40	12.31%
9	21	6.46%
10	23	7.08%
Total	325	100.00%
		
# Live QB	Count	%
0	55	16.92%
1	232	71.38%
2	38	11.69%
Total	325	100.00%
		
# Live RB	Count	%
0	1	0.31%
1	154	47.38%
2	131	40.31%
3	38	11.69%
4	1	0.31%
Total	325	100.00%
		
# Live W/T	Count	%
0	9	2.77%
1	35	10.77%
2	61	18.77%
3	72	22.15%
4	65	20.00%
5	54	16.62%
6	27	8.31%
7	2	0.62%
Total	325	100.00%
		
# dupes	Count	%
1	199	61.23%
2	42	12.92%
3	12	3.69%
4	20	6.15%
5	10	3.08%
6	18	5.54%
11	11	3.38%
13	13	4.00%
Total	325	100.00%
