Username,Position,Player Name,Team
TOPFANTASYPLAYS,QB,Jayden Daniels,WAS
TOPFANTASYPLAYS,RB,Kareem Hunt,KC
TOPFANTASYPLAYS,RB,Isiah Pacheco,KC
TOPFANTASYPLAYS,RB,Saquon Barkley,PHI
TOPFANTASYPLAYS,W/T,Zach Ertz,WAS
TOPFANTASYPLAYS,W/T,Ladd McConkey,LAC
TOPFANTASYPLAYS,W/T,Dallas Goedert,PHI
TOPFANTASYPLAYS,W/T,Xavier Worthy,KC
TOPFANTASYPLAYS,W/T,Nico Collins,HOU
TOPFANTASYPLAYS,W/T,DeVonta Smith,PHI
XBGAMIN,QB,Baker Mayfield,TB
XBGAMIN,QB,Jayden Daniels,WAS
XBGAMIN,RB,Chase Brown,CIN
XBGAMIN,RB,Bijan Robinson,ATL
XBGAMIN,RB,Bucky Irving,TB
XBGAMIN,RB,Joe Mixon,HOU
XBGAMIN,RB,Saquon Barkley,PHI
XBGAMIN,W/T,Ja'Marr Chase,CIN
XBGAMIN,W/T,Terry McLaurin,WAS
XBGAMIN,W/T,Justin Jefferson,MIN
ZEKEX,QB,Jayden Daniels,WAS
ZEKEX,QB,Jordan Love,GB
ZEKEX,RB,Kyren Williams,LAR
ZEKEX,RB,Najee Harris,PIT
ZEKEX,RB,Saquon Barkley,PHI
ZEKEX,W/T,Ladd McConkey,LAC
ZEKEX,W/T,Ja'Marr Chase,CIN
ZEKEX,W/T,Puka Nacua,LAR
ZEKEX,W/T,Nico Collins,HOU
ZEKEX,W/T,DeVonta Smith,PHI
COBISEWELL,QB,Jayden Daniels,WAS
COBISEWELL,RB,Bijan Robinson,ATL
COBISEWELL,RB,Najee Harris,PIT
COBISEWELL,RB,James Cook,BUF
COBISEWELL,RB,Saquon Barkley,PHI
COBISEWELL,W/T,Rashod Bateman,BAL
COBISEWELL,W/T,George Pickens,PIT
COBISEWELL,W/T,Nico Collins,HOU
COBISEWELL,W/T,Justin Jefferson,MIN
COBISEWELL,W/T,Jameson Williams,DET
TBOD10,QB,Baker Mayfield,TB
TBOD10,QB,Jayden Daniels,WAS
TBOD10,RB,James Cook,BUF
TBOD10,RB,Saquon Barkley,PHI
TBOD10,W/T,Ladd McConkey,LAC
TBOD10,W/T,Terry McLaurin,WAS
TBOD10,W/T,Jordan Addison,MIN
TBOD10,W/T,Mike Evans,TB
TBOD10,W/T,Nico Collins,HOU
TBOD10,W/T,Zay Flowers,BAL
RAW502,QB,Jayden Daniels,WAS
RAW502,QB,Jalen Hurts,PHI
RAW502,RB,Ty Johnson,BUF
RAW502,RB,Brian Robinson Jr.,WAS
RAW502,RB,James Cook,BUF
RAW502,W/T,Mike Evans,TB
RAW502,W/T,Terry McLaurin,WAS
RAW502,W/T,Amari Cooper,BUF
RAW502,W/T,Sam LaPorta,DET
RAW502,W/T,Khalil Shakir,BUF
CJWHITSO,QB,Matthew Stafford,LAR
CJWHITSO,QB,Russell Wilson,PIT
CJWHITSO,RB,Josh Jacobs,GB
CJWHITSO,RB,James Cook,BUF
CJWHITSO,RB,Saquon Barkley,PHI
CJWHITSO,W/T,Cooper Kupp,LAR
CJWHITSO,W/T,Courtland Sutton,DEN
CJWHITSO,W/T,Puka Nacua,LAR
CJWHITSO,W/T,George Pickens,PIT
CJWHITSO,W/T,Nico Collins,HOU
THINKAGAIN,QB,Jayden Daniels,WAS
THINKAGAIN,QB,C.J. Stroud,HOU
THINKAGAIN,QB,Sam Darnold,MIN
THINKAGAIN,RB,Isiah Pacheco,KC
THINKAGAIN,RB,Derrick Henry,BAL
THINKAGAIN,RB,Saquon Barkley,PHI
THINKAGAIN,W/T,T.J. Hockenson,MIN
THINKAGAIN,W/T,Terry McLaurin,WAS
THINKAGAIN,W/T,Xavier Worthy,KC
THINKAGAIN,W/T,Khalil Shakir,BUF
SPAT,QB,Justin Herbert,LAC
SPAT,QB,Patrick Mahomes,KC
SPAT,RB,Kareem Hunt,KC
SPAT,RB,Kyren Williams,LAR
SPAT,RB,Saquon Barkley,PHI
SPAT,W/T,Ladd McConkey,LAC
SPAT,W/T,Cooper Kupp,LAR
SPAT,W/T,Hollywood Brown,KC
SPAT,W/T,Travis Kelce,KC
SPAT,W/T,DeVonta Smith,PHI
HITNETHANG24,QB,Jayden Daniels,WAS
HITNETHANG24,QB,Patrick Mahomes,KC
HITNETHANG24,RB,Kareem Hunt,KC
HITNETHANG24,RB,Saquon Barkley,PHI
HITNETHANG24,W/T,Ladd McConkey,LAC
HITNETHANG24,W/T,T.J. Hockenson,MIN
HITNETHANG24,W/T,Terry McLaurin,WAS
HITNETHANG24,W/T,Jordan Addison,MIN
HITNETHANG24,W/T,Sam LaPorta,DET
HITNETHANG24,W/T,Travis Kelce,KC
FRITA,QB,Jayden Daniels,WAS
FRITA,QB,Jordan Love,GB
FRITA,QB,Patrick Mahomes,KC
FRITA,RB,Kyren Williams,LAR
FRITA,RB,Kareem Hunt,KC
FRITA,RB,Josh Jacobs,GB
FRITA,RB,Jahmyr Gibbs,DET
FRITA,W/T,Ladd McConkey,LAC
FRITA,W/T,Xavier Worthy,KC
FRITA,W/T,Travis Kelce,KC
FEARMYTURTLE,QB,Jayden Daniels,WAS
FEARMYTURTLE,QB,Lamar Jackson,BAL
FEARMYTURTLE,RB,Justice Hill,BAL
FEARMYTURTLE,RB,Brian Robinson Jr.,WAS
FEARMYTURTLE,RB,Derrick Henry,BAL
FEARMYTURTLE,W/T,Zach Ertz,WAS
FEARMYTURTLE,W/T,Terry McLaurin,WAS
FEARMYTURTLE,W/T,Rashod Bateman,BAL
FEARMYTURTLE,W/T,Khalil Shakir,BUF
FEARMYTURTLE,W/T,Mark Andrews,BAL
GMK48GMK48,QB,Jayden Daniels,WAS
GMK48GMK48,QB,Patrick Mahomes,KC
GMK48GMK48,RB,Josh Jacobs,GB
GMK48GMK48,RB,Isiah Pacheco,KC
GMK48GMK48,RB,Saquon Barkley,PHI
GMK48GMK48,W/T,Noah Gray,KC
GMK48GMK48,W/T,Romeo Doubs,GB
GMK48GMK48,W/T,Christian Watson,GB
GMK48GMK48,W/T,Terry McLaurin,WAS
GMK48GMK48,W/T,DeAndre Hopkins,KC
MADE21,QB,C.J. Stroud,HOU
MADE21,QB,Patrick Mahomes,KC
MADE21,RB,Derrick Henry,BAL
MADE21,RB,Saquon Barkley,PHI
MADE21,W/T,Mike Evans,TB
MADE21,W/T,Ladd McConkey,LAC
MADE21,W/T,Noah Gray,KC
MADE21,W/T,Dallas Goedert,PHI
MADE21,W/T,Nico Collins,HOU
MADE21,W/T,DeAndre Hopkins,KC
CINDERELLASTORY,QB,Jayden Daniels,WAS
CINDERELLASTORY,QB,Jordan Love,GB
CINDERELLASTORY,RB,Jaylen Warren,PIT
CINDERELLASTORY,RB,Derrick Henry,BAL
CINDERELLASTORY,RB,Saquon Barkley,PHI
CINDERELLASTORY,W/T,Ladd McConkey,LAC
CINDERELLASTORY,W/T,Rashod Bateman,BAL
CINDERELLASTORY,W/T,Dallas Goedert,PHI
CINDERELLASTORY,W/T,Khalil Shakir,BUF
CINDERELLASTORY,W/T,DeVonta Smith,PHI
CHRISREBOLLAR,QB,Jayden Daniels,WAS
CHRISREBOLLAR,RB,Chase Brown,CIN
CHRISREBOLLAR,RB,Bijan Robinson,ATL
CHRISREBOLLAR,RB,Kyren Williams,LAR
CHRISREBOLLAR,RB,Saquon Barkley,PHI
CHRISREBOLLAR,W/T,Tucker Kraft,GB
CHRISREBOLLAR,W/T,Ja'Marr Chase,CIN
CHRISREBOLLAR,W/T,Terry McLaurin,WAS
CHRISREBOLLAR,W/T,Mike Evans,TB
CHRISREBOLLAR,W/T,Justin Jefferson,MIN
VANITER24,QB,Russell Wilson,PIT
VANITER24,QB,Jayden Daniels,WAS
VANITER24,RB,Bijan Robinson,ATL
VANITER24,RB,James Cook,BUF
VANITER24,RB,Saquon Barkley,PHI
VANITER24,W/T,Drake London,ATL
VANITER24,W/T,Terry McLaurin,WAS
VANITER24,W/T,George Pickens,PIT
VANITER24,W/T,Nico Collins,HOU
VANITER24,W/T,Justin Jefferson,MIN
INIGMA701,QB,Jayden Daniels,WAS
INIGMA701,QB,C.J. Stroud,HOU
INIGMA701,RB,Brian Robinson Jr.,WAS
INIGMA701,RB,James Cook,BUF
INIGMA701,RB,Saquon Barkley,PHI
INIGMA701,W/T,Tucker Kraft,GB
INIGMA701,W/T,Terry McLaurin,WAS
INIGMA701,W/T,DeAndre Hopkins,KC
INIGMA701,W/T,Nico Collins,HOU
INIGMA701,W/T,DeVonta Smith,PHI
ROOFTOP12,QB,Jordan Love,GB
ROOFTOP12,QB,Sam Darnold,MIN
ROOFTOP12,QB,Jayden Daniels,WAS
ROOFTOP12,RB,Joe Mixon,HOU
ROOFTOP12,RB,Aaron Jones,MIN
ROOFTOP12,RB,James Cook,BUF
ROOFTOP12,W/T,Ladd McConkey,LAC
ROOFTOP12,W/T,Terry McLaurin,WAS
ROOFTOP12,W/T,Khalil Shakir,BUF
ROOFTOP12,W/T,Amon-Ra St. Brown,DET
HAMMIE17,QB,Russell Wilson,PIT
HAMMIE17,QB,Patrick Mahomes,KC
HAMMIE17,RB,Bijan Robinson,ATL
