Username,Position,Player Name,Team
BERGZ97,QB,Jayden Daniels,WAS
BERGZ97,QB,Jared Goff,DET
BERGZ97,RB,Kyren Williams,LAR
BERGZ97,RB,Kareem Hunt,KC
BERGZ97,RB,Saquon Barkley,PHI
BERGZ97,W/T,Christian Watson,GB
BERGZ97,W/T,Nico Collins,HOU
BERGZ97,W/T,Puka Nacua,LAR
BERGZ97,W/T,Xavier Worthy,KC
BERGZ97,W/T,Travis Kelce,KC
UMDTERPS80,QB,Jayden Daniels,WAS
UMDTERPS80,RB,Derrick Henry,BAL
UMDTERPS80,RB,Saquon Barkley,PHI
UMDTERPS80,W/T,Christian Watson,GB
UMDTERPS80,W/T,Keon Coleman,BUF
UMDTERPS80,W/T,DeAndre Hopkins,KC
UMDTERPS80,W/T,Jayden Reed,GB
UMDTERPS80,W/T,Nico Collins,HOU
UMDTERPS80,W/T,Xavier Worthy,KC
UMDTERPS80,W/T,Jameson Williams,DET
JULIANJY5,QB,Justin Herbert,LAC
JULIANJY5,QB,Jayden Daniels,WAS
JULIANJY5,RB,Ray Davis,BUF
JULIANJY5,RB,Isiah Pacheco,KC
JULIANJY5,RB,Saquon Barkley,PHI
JULIANJY5,W/T,Zach Ertz,WAS
JULIANJY5,W/T,Jayden Reed,GB
JULIANJY5,W/T,Terry McLaurin,WAS
JULIANJY5,W/T,Ladd McConkey,LAC
JULIANJY5,W/T,A.J. Brown,PHI
MATTRAQ1,QB,Jayden Daniels,WAS
MATTRAQ1,QB,Patrick Mahomes,KC
MATTRAQ1,RB,Bucky Irving,TB
MATTRAQ1,RB,Isiah Pacheco,KC
MATTRAQ1,RB,Saquon Barkley,PHI
MATTRAQ1,W/T,JuJu Smith-Schuster,KC
MATTRAQ1,W/T,Terry McLaurin,WAS
MATTRAQ1,W/T,Mike Evans,TB
MATTRAQ1,W/T,Travis Kelce,KC
MATTRAQ1,W/T,Xavier Worthy,KC
F5MERCS,QB,Matthew Stafford,LAR
F5MERCS,QB,Jayden Daniels,WAS
F5MERCS,QB,Patrick Mahomes,KC
F5MERCS,RB,Kyren Williams,LAR
F5MERCS,RB,Derrick Henry,BAL
F5MERCS,W/T,Zach Ertz,WAS
F5MERCS,W/T,Jalen McMillan,TB
F5MERCS,W/T,Terry McLaurin,WAS
F5MERCS,W/T,Puka Nacua,LAR
F5MERCS,W/T,Xavier Worthy,KC
IDERTI,QB,Jayden Daniels,WAS
IDERTI,QB,Patrick Mahomes,KC
IDERTI,RB,Kareem Hunt,KC
IDERTI,RB,Bucky Irving,TB
IDERTI,RB,Saquon Barkley,PHI
IDERTI,W/T,Noah Gray,KC
IDERTI,W/T,T.J. Hockenson,MIN
IDERTI,W/T,Terry McLaurin,WAS
IDERTI,W/T,Xavier Worthy,KC
IDERTI,W/T,Travis Kelce,KC
NSK3,QB,Justin Herbert,LAC
NSK3,QB,Jayden Daniels,WAS
NSK3,QB,Jared Goff,DET
NSK3,RB,Austin Ekeler,WAS
NSK3,RB,James Cook,BUF
NSK3,RB,Saquon Barkley,PHI
NSK3,W/T,Jalen McMillan,TB
NSK3,W/T,Terry McLaurin,WAS
NSK3,W/T,Ladd McConkey,LAC
NSK3,W/T,Xavier Worthy,KC
JLOCO,QB,Jordan Love,GB
JLOCO,QB,Jayden Daniels,WAS
JLOCO,RB,Aaron Jones,MIN
JLOCO,RB,James Cook,BUF
JLOCO,RB,Saquon Barkley,PHI
JLOCO,W/T,George Pickens,PIT
JLOCO,W/T,Terry McLaurin,WAS
JLOCO,W/T,Nico Collins,HOU
JLOCO,W/T,Jordan Addison,MIN
JLOCO,W/T,Sam LaPorta,DET
JYAKER23,QB,Baker Mayfield,TB
JYAKER23,QB,Jayden Daniels,WAS
JYAKER23,QB,Patrick Mahomes,KC
JYAKER23,RB,Kareem Hunt,KC
JYAKER23,RB,Saquon Barkley,PHI
JYAKER23,W/T,Terry McLaurin,WAS
JYAKER23,W/T,Hollywood Brown,KC
JYAKER23,W/T,Ladd McConkey,LAC
JYAKER23,W/T,Mike Evans,TB
JYAKER23,W/T,Xavier Worthy,KC
PTALBS,QB,Jayden Daniels,WAS
PTALBS,QB,Patrick Mahomes,KC
PTALBS,RB,Kareem Hunt,KC
PTALBS,RB,Kyren Williams,LAR
PTALBS,RB,Saquon Barkley,PHI
PTALBS,W/T,Zach Ertz,WAS
PTALBS,W/T,Terry McLaurin,WAS
PTALBS,W/T,Nico Collins,HOU
PTALBS,W/T,Xavier Worthy,KC
PTALBS,W/T,A.J. Brown,PHI
PTALBS,QB,Jayden Daniels,WAS
PTALBS,QB,Patrick Mahomes,KC
PTALBS,RB,Brian Robinson Jr.,WAS
PTALBS,RB,Saquon Barkley,PHI
PTALBS,W/T,Courtland Sutton,DEN
PTALBS,W/T,Terry McLaurin,WAS
PTALBS,W/T,Dallas Goedert,PHI
PTALBS,W/T,Mike Evans,TB
PTALBS,W/T,Travis Kelce,KC
PTALBS,W/T,Xavier Worthy,KC
WASTAVROS,QB,Jayden Daniels,WAS
WASTAVROS,QB,Patrick Mahomes,KC
WASTAVROS,RB,Josh Jacobs,GB
WASTAVROS,RB,Saquon Barkley,PHI
WASTAVROS,W/T,Zach Ertz,WAS
WASTAVROS,W/T,Jayden Reed,GB
WASTAVROS,W/T,Terry McLaurin,WAS
WASTAVROS,W/T,Mike Evans,TB
WASTAVROS,W/T,Travis Kelce,KC
WASTAVROS,W/T,Xavier Worthy,KC
NOSK,QB,Jayden Daniels,WAS
NOSK,RB,Austin Ekeler,WAS
NOSK,RB,J.K. Dobbins,LAC
NOSK,RB,Josh Jacobs,GB
NOSK,RB,Saquon Barkley,PHI
NOSK,W/T,Zach Ertz,WAS
NOSK,W/T,Quentin Johnston,LAC
NOSK,W/T,Terry McLaurin,WAS
NOSK,W/T,Ladd McConkey,LAC
NOSK,W/T,A.J. Brown,PHI
SHOCKTRAUMA19,QB,Bo Nix,DEN
SHOCKTRAUMA19,QB,Jayden Daniels,WAS
SHOCKTRAUMA19,RB,Derrick Henry,BAL
SHOCKTRAUMA19,RB,Saquon Barkley,PHI
SHOCKTRAUMA19,W/T,Courtland Sutton,DEN
SHOCKTRAUMA19,W/T,Isaiah Likely,BAL
SHOCKTRAUMA19,W/T,Rashod Bateman,BAL
SHOCKTRAUMA19,W/T,Zay Flowers,BAL
SHOCKTRAUMA19,W/T,Mike Evans,TB
SHOCKTRAUMA19,W/T,Xavier Worthy,KC
MALINJARM,QB,Jayden Daniels,WAS
MALINJARM,QB,Patrick Mahomes,KC
MALINJARM,RB,Brian Robinson Jr.,WAS
MALINJARM,RB,Isiah Pacheco,KC
MALINJARM,RB,Saquon Barkley,PHI
MALINJARM,W/T,Zach Ertz,WAS
MALINJARM,W/T,Ladd McConkey,LAC
MALINJARM,W/T,Terry McLaurin,WAS
MALINJARM,W/T,Puka Nacua,LAR
MALINJARM,W/T,Travis Kelce,KC
WZELTNER,QB,Jayden Daniels,WAS
WZELTNER,QB,Patrick Mahomes,KC
WZELTNER,RB,Brian Robinson Jr.,WAS
WZELTNER,RB,Saquon Barkley,PHI
WZELTNER,W/T,Quentin Johnston,LAC
WZELTNER,W/T,Ladd McConkey,LAC
