Username,Position,Player Name,Team
DAMESTAR7,RB,Derrick Henry,BAL
DAMESTAR7,RB,Saquon Barkley,PHI
DAMESTAR7,W/T,DeAndre Hopkins,KC
DAMESTAR7,W/T,Courtland Sutton,DEN
DAMESTAR7,W/T,Dalton Kincaid,BUF
DAMESTAR7,W/T,Terry McLaurin,WAS
DAMESTAR7,W/T,Mike Evans,TB
DAMESTAR7,W/T,Xavier Worthy,KC
MIKEAWADALLAH,QB,Sam Darnold,MIN
MIKEAWADALLAH,QB,Jayden Daniels,WAS
MIKEAWADALLAH,RB,Joe Mixon,HOU
MIKEAWADALLAH,RB,Saquon Barkley,PHI
MIKEAWADALLAH,RB,Jahmyr Gibbs,DET
MIKEAWADALLAH,W/T,Courtland Sutton,DEN
MIKEAWADALLAH,W/T,Nico Collins,HOU
MIKEAWADALLAH,W/T,Terry McLaurin,WAS
MIKEAWADALLAH,W/T,Puka Nacua,LAR
MIKEAWADALLAH,W/T,Justin Jefferson,MIN
GREIG813,QB,Jayden Daniels,WAS
GREIG813,QB,Patrick Mahomes,KC
GREIG813,RB,Kareem Hunt,KC
GREIG813,RB,Joe Mixon,HOU
GREIG813,RB,Saquon Barkley,PHI
GREIG813,W/T,Nico Collins,HOU
GREIG813,W/T,Jordan Addison,MIN
GREIG813,W/T,Terry McLaurin,WAS
GREIG813,W/T,Xavier Worthy,KC
GREIG813,W/T,Travis Kelce,KC
HENDO89,QB,Jayden Daniels,WAS
HENDO89,RB,Saquon Barkley,PHI
HENDO89,RB,Derrick Henry,BAL
HENDO89,W/T,Noah Gray,KC
HENDO89,W/T,Nico Collins,HOU
HENDO89,W/T,Isaiah Likely,BAL
HENDO89,W/T,Hollywood Brown,KC
HENDO89,W/T,Dallas Goedert,PHI
HENDO89,W/T,Puka Nacua,LAR
HENDO89,W/T,Xavier Worthy,KC
ATL,QB,Baker Mayfield,TB
ATL,QB,Jayden Daniels,WAS
ATL,RB,Isiah Pacheco,KC
ATL,RB,Saquon Barkley,PHI
ATL,W/T,Dalton Kincaid,BUF
ATL,W/T,DeAndre Hopkins,KC
ATL,W/T,Terry McLaurin,WAS
ATL,W/T,Mike Evans,TB
ATL,W/T,Sam LaPorta,DET
ATL,W/T,Amon-Ra St. Brown,DET
LEAFS69,QB,Josh Allen,BUF
LEAFS69,RB,Brian Robinson Jr.,WAS
LEAFS69,RB,James Cook,BUF
LEAFS69,RB,Derrick Henry,BAL
LEAFS69,W/T,Dalton Kincaid,BUF
LEAFS69,W/T,Cooper Kupp,LAR
LEAFS69,W/T,Nico Collins,HOU
LEAFS69,W/T,Amari Cooper,BUF
LEAFS69,W/T,Jordan Addison,MIN
LEAFS69,W/T,Mike Evans,TB
DAGRILLASZ,QB,Justin Herbert,LAC
DAGRILLASZ,QB,Jayden Daniels,WAS
DAGRILLASZ,RB,Brian Robinson Jr.,WAS
DAGRILLASZ,RB,James Cook,BUF
DAGRILLASZ,RB,Saquon Barkley,PHI
DAGRILLASZ,W/T,Keon Coleman,BUF
DAGRILLASZ,W/T,Terry McLaurin,WAS
DAGRILLASZ,W/T,Dallas Goedert,PHI
DAGRILLASZ,W/T,Khalil Shakir,BUF
DAGRILLASZ,W/T,Puka Nacua,LAR
SPYKEGG,QB,Baker Mayfield,TB
SPYKEGG,QB,Jayden Daniels,WAS
SPYKEGG,RB,Saquon Barkley,PHI
SPYKEGG,RB,Jahmyr Gibbs,DET
SPYKEGG,W/T,George Pickens,PIT
SPYKEGG,W/T,Jalen McMillan,TB
SPYKEGG,W/T,Terry McLaurin,WAS
SPYKEGG,W/T,Ladd McConkey,LAC
SPYKEGG,W/T,Puka Nacua,LAR
SPYKEGG,W/T,Xavier Worthy,KC
RNKOOL33,QB,Jayden Daniels,WAS
RNKOOL33,QB,Patrick Mahomes,KC
RNKOOL33,RB,Isiah Pacheco,KC
RNKOOL33,RB,Saquon Barkley,PHI
RNKOOL33,W/T,George Pickens,PIT
RNKOOL33,W/T,Zach Ertz,WAS
RNKOOL33,W/T,Terry McLaurin,WAS
RNKOOL33,W/T,Dallas Goedert,PHI
RNKOOL33,W/T,Xavier Worthy,KC
RNKOOL33,W/T,Travis Kelce,KC
KASCOUGH1,QB,Lamar Jackson,BAL
KASCOUGH1,RB,Brian Robinson Jr.,WAS
KASCOUGH1,RB,Derrick Henry,BAL
KASCOUGH1,W/T,Zach Ertz,WAS
KASCOUGH1,W/T,Cooper Kupp,LAR
KASCOUGH1,W/T,Isaiah Likely,BAL
KASCOUGH1,W/T,Terry McLaurin,WAS
KASCOUGH1,W/T,Rashod Bateman,BAL
KASCOUGH1,W/T,Zay Flowers,BAL
KASCOUGH1,W/T,Puka Nacua,LAR
DEGGY,QB,C.J. Stroud,HOU
DEGGY,QB,Jayden Daniels,WAS
DEGGY,RB,Josh Jacobs,GB
DEGGY,RB,Derrick Henry,BAL
DEGGY,RB,Saquon Barkley,PHI
DEGGY,W/T,Quentin Johnston,LAC
DEGGY,W/T,Terry McLaurin,WAS
DEGGY,W/T,Dallas Goedert,PHI
DEGGY,W/T,Xavier Worthy,KC
DEGGY,W/T,Travis Kelce,KC
SNATCHCATCHERS,QB,Jayden Daniels,WAS
SNATCHCATCHERS,RB,Kareem Hunt,KC
SNATCHCATCHERS,RB,Isiah Pacheco,KC
SNATCHCATCHERS,RB,Derrick Henry,BAL
SNATCHCATCHERS,RB,Saquon Barkley,PHI
SNATCHCATCHERS,W/T,Olamide Zaccheaus,WAS
SNATCHCATCHERS,W/T,Zach Ertz,WAS
SNATCHCATCHERS,W/T,Terry McLaurin,WAS
SNATCHCATCHERS,W/T,Travis Kelce,KC
SNATCHCATCHERS,W/T,Xavier Worthy,KC
CLIPFAN634,QB,Jalen Hurts,PHI
CLIPFAN634,RB,Kenneth Gainwell,PHI
CLIPFAN634,RB,J.K. Dobbins,LAC
CLIPFAN634,W/T,Mack Hollins,BUF
CLIPFAN634,W/T,Justin Watson,KC
CLIPFAN634,W/T,Nico Collins,HOU
CLIPFAN634,W/T,Ladd McConkey,LAC
CLIPFAN634,W/T,Khalil Shakir,BUF
CLIPFAN634,W/T,Xavier Worthy,KC
CLIPFAN634,W/T,A.J. Brown,PHI
KIMMSHADY,QB,Jayden Daniels,WAS
KIMMSHADY,RB,Justice Hill,BAL
KIMMSHADY,RB,Kyren Williams,LAR
KIMMSHADY,RB,Saquon Barkley,PHI
KIMMSHADY,W/T,Isaiah Likely,BAL
KIMMSHADY,W/T,Dalton Kincaid,BUF
KIMMSHADY,W/T,Terry McLaurin,WAS
KIMMSHADY,W/T,Rashod Bateman,BAL
KIMMSHADY,W/T,Jameson Williams,DET
