Username,Position,Player Name,Team
RANDERS,W/T,A.J. Brown,PHI
ROCKYB1980,QB,Jayden Daniels,WAS
ROCKYB1980,QB,Josh Allen,BUF
ROCKYB1980,RB,Austin Ekeler,WAS
ROCKYB1980,RB,James Cook,BUF
ROCKYB1980,RB,Saquon Barkley,PHI
ROCKYB1980,W/T,Amari Cooper,BUF
ROCKYB1980,W/T,Terry McLaurin,WAS
ROCKYB1980,W/T,Khalil Shakir,BUF
ROCKYB1980,W/T,Nico Collins,HOU
ROCKYB1980,W/T,A.J. Brown,PHI
THESLEEPER,QB,Jayden Daniels,WAS
THESLEEPER,QB,Jalen Hurts,PHI
THESLEEPER,RB,Joe Mixon,HOU
THESLEEPER,RB,Saquon Barkley,PHI
THESLEEPER,W/T,Dallas Goedert,PHI
THESLEEPER,W/T,DeAndre Hopkins,KC
THESLEEPER,W/T,Xavier Worthy,KC
THESLEEPER,W/T,Nico Collins,HOU
THESLEEPER,W/T,DeVonta Smith,PHI
THESLEEPER,W/T,A.J. Brown,PHI
KRUTCHES93,QB,Jalen Hurts,PHI
KRUTCHES93,RB,Kenneth Gainwell,PHI
KRUTCHES93,RB,Kareem Hunt,KC
KRUTCHES93,RB,Saquon Barkley,PHI
KRUTCHES93,W/T,Isaiah Likely,BAL
KRUTCHES93,W/T,Hollywood Brown,KC
KRUTCHES93,W/T,Dallas Goedert,PHI
KRUTCHES93,W/T,DeVonta Smith,PHI
KRUTCHES93,W/T,Xavier Worthy,KC
KRUTCHES93,W/T,A.J. Brown,PHI
TYDYMES,QB,Josh Allen,BUF
TYDYMES,QB,Jalen Hurts,PHI
TYDYMES,RB,Joe Mixon,HOU
TYDYMES,RB,Kareem Hunt,KC
TYDYMES,RB,Saquon Barkley,PHI
TYDYMES,W/T,Amari Cooper,BUF
TYDYMES,W/T,Khalil Shakir,BUF
TYDYMES,W/T,DeVonta Smith,PHI
TYDYMES,W/T,A.J. Brown,PHI
TYDYMES,W/T,Travis Kelce,KC
HURTINGFEELINGS13,QB,Patrick Mahomes,KC
HURTINGFEELINGS13,RB,Ty Johnson,BUF
HURTINGFEELINGS13,RB,Kareem Hunt,KC
HURTINGFEELINGS13,RB,Saquon Barkley,PHI
HURTINGFEELINGS13,W/T,Isaiah Likely,BAL
HURTINGFEELINGS13,W/T,Terry McLaurin,WAS
HURTINGFEELINGS13,W/T,Nico Collins,HOU
HURTINGFEELINGS13,W/T,Hollywood Brown,KC
HURTINGFEELINGS13,W/T,Xavier Worthy,KC
HURTINGFEELINGS13,W/T,DeVonta Smith,PHI
BENSNAPS,QB,Jayden Daniels,WAS
BENSNAPS,QB,Jalen Hurts,PHI
BENSNAPS,RB,James Cook,BUF
BENSNAPS,RB,Saquon Barkley,PHI
BENSNAPS,W/T,Jahan Dotson,PHI
BENSNAPS,W/T,Dalton Kincaid,BUF
BENSNAPS,W/T,Dallas Goedert,PHI
BENSNAPS,W/T,Khalil Shakir,BUF
BENSNAPS,W/T,Nico Collins,HOU
BENSNAPS,W/T,DeVonta Smith,PHI
DDMLG12799,QB,Patrick Mahomes,KC
DDMLG12799,QB,Jalen Hurts,PHI
DDMLG12799,RB,Samaje Perine,KC
DDMLG12799,RB,Kenneth Gainwell,PHI
DDMLG12799,RB,Saquon Barkley,PHI
DDMLG12799,W/T,Justin Watson,KC
DDMLG12799,W/T,Noah Gray,KC
DDMLG12799,W/T,Dallas Goedert,PHI
DDMLG12799,W/T,DeVonta Smith,PHI
DDMLG12799,W/T,Travis Kelce,KC
SLYTOMATO,QB,Jalen Hurts,PHI
SLYTOMATO,QB,Lamar Jackson,BAL
SLYTOMATO,RB,Kareem Hunt,KC
SLYTOMATO,RB,Justice Hill,BAL
SLYTOMATO,RB,Saquon Barkley,PHI
SLYTOMATO,W/T,Dallas Goedert,PHI
SLYTOMATO,W/T,Isaiah Likely,BAL
SLYTOMATO,W/T,Mark Andrews,BAL
SLYTOMATO,W/T,DeVonta Smith,PHI
SLYTOMATO,W/T,A.J. Brown,PHI
MARIOSOLAR,QB,Jayden Daniels,WAS
MARIOSOLAR,QB,Jalen Hurts,PHI
MARIOSOLAR,RB,Brian Robinson Jr.,WAS
MARIOSOLAR,RB,Saquon Barkley,PHI
MARIOSOLAR,W/T,JuJu Smith-Schuster,KC
MARIOSOLAR,W/T,Terry McLaurin,WAS
MARIOSOLAR,W/T,Dallas Goedert,PHI
MARIOSOLAR,W/T,Xavier Worthy,KC
